name,country,lat,lon,MTemp,humidity,cloudinnes,windspeed,date
Fuxin,CN,42.02,121.66,292.85,76,94,1.5,1600063093
Drumheller,CA,51.46,-112.71,282.59,84,100,2.68,1600063093
Vao,NC,-22.67,167.48,294.21,80,10,7.27,1600063094
Keminmaa,FI,65.86,24.82,281.15,75,0,4.1,1600063094
Salalah,OM,17.02,54.09,301.15,74,20,1.0,1600063095
Mbandaka,CD,0.05,18.26,294.57,93,78,2.06,1600063096
Tuatapere,NZ,-46.13,167.68,284.26,77,46,6.26,1600063096
Riyadh,SA,24.69,46.72,304.15,25,0,1.77,1600062946
Sangar,RU,63.92,127.47,281.62,84,100,6.0,1600063097
Verkhnechusovskiye Gorodki,RU,58.17,57.11,286.0,69,100,5.83,1600063098
Road Town,VG,18.42,-64.62,301.48,84,57,3.13,1600063099
Peto,MX,20.13,-88.92,296.79,97,97,0.43,1600063099
Anloga,GH,5.79,0.9,298.15,88,75,2.6,1600063100
Mogocha,RU,53.73,119.77,285.95,86,100,3.48,1600063100
Mbigou,GA,-1.9,11.91,292.86,91,88,1.73,1600063102
Isabela,PH,6.71,121.97,301.15,83,75,3.6,1600063102
Chadiza,ZM,-14.07,32.44,295.87,41,44,3.04,1600063103
Srednekolymsk,RU,67.45,153.68,285.8,46,0,5.32,1600063104
Baruun-Urt,MN,46.68,113.28,290.12,29,10,6.5,1600063104
Vanimo,PG,-2.67,141.3,303.28,64,99,3.5,1600063105
Ca Mau,VN,9.18,105.15,302.14,73,99,3.45,1600063106
Ōdachō-ōda,JP,35.18,132.5,297.15,69,75,2.1,1600063106
Teahupoo,PF,-17.83,-149.27,300.15,61,75,4.1,1600063107
Rome,US,43.21,-75.46,289.82,93,75,2.92,1600063107
Zhigansk,RU,66.77,123.37,285.35,56,55,8.24,1600063108
Isangel,VU,-19.55,169.27,298.15,78,90,2.6,1600063109
Lamar,US,33.67,-95.58,294.15,83,1,4.1,1600063022
Richmond,US,37.55,-77.46,294.82,100,1,0.2,1600062955
Vikhorevka,RU,56.12,101.16,284.15,62,40,4.0,1600063112
Andros Town,BS,24.7,-77.77,301.15,83,75,1.5,1600063112
Batemans Bay,AU,-35.72,150.18,293.71,46,23,1.34,1600063113
Banjar,ID,-8.19,114.97,304.15,52,20,6.2,1600063114
Cap Malheureux,MU,-19.98,57.61,297.04,65,1,4.47,1600063114
São Miguel,BR,-5.47,-35.37,295.15,94,40,1.5,1600063115
Pyu,MM,18.48,96.43,303.73,78,50,3.05,1600063117
Belawan,ID,3.78,98.68,303.09,64,70,2.6,1600063118
Amuntai,ID,-2.42,115.25,305.74,50,53,1.45,1600063119
Khovd,MN,48.01,91.64,286.74,35,0,2.12,1600063120
Camacha,PT,33.08,-16.33,294.15,83,40,3.1,1600063121
Lüderitz,NA,-26.65,15.16,284.87,62,0,8.82,1600063122
Vardø,NO,70.37,31.11,281.15,93,75,7.2,1600063123
Tres Arroyos,AR,-38.37,-60.28,275.85,81,0,3.4,1600063123
Amarante do Maranhão,BR,-5.57,-46.74,294.4,53,58,1.43,1600063124
Ambon City,ID,-3.7,128.18,302.15,70,40,4.1,1600063124
Esim,GH,4.87,-2.24,297.32,91,100,3.35,1600063125
Griffith,US,41.53,-87.42,286.15,100,1,0.93,1600063126
Oromocto,CA,45.84,-66.48,289.15,100,90,6.7,1600063126
Honiara,SB,-9.43,159.95,306.15,55,75,6.7,1600063127
Horta,PT,38.53,-28.63,293.53,83,98,10.22,1600063127
Naze,JP,28.37,129.48,301.15,78,75,2.1,1600063128
Vanavara,RU,60.34,102.28,289.11,56,38,3.32,1600063129
Lar,IN,26.2,83.97,306.71,62,59,2.32,1600063129
Cherëmukhovo,RU,60.35,59.99,284.57,75,99,4.71,1600063130
Pointe Michel,DM,15.25,-61.38,300.92,78,63,4.73,1600063131
Gamba,GA,-2.65,10.0,296.66,84,60,1.42,1600063131
Tabou,CI,4.42,-7.35,297.72,89,99,5.5,1600063132
Hay River,CA,60.82,-115.8,274.15,83,20,1.64,1600063132
Korla,CN,41.76,86.15,296.49,20,0,0.42,1600063133
Iguape,BR,-24.71,-47.56,293.27,92,4,1.92,1600063134
Eureka,US,40.8,-124.16,287.59,100,99,0.51,1600063085
Savalou,BJ,7.93,1.98,294.44,96,80,0.89,1600063135
Eišiškės,LT,54.17,25.0,288.15,76,75,4.1,1600063136
Fairbanks,US,64.84,-147.72,281.15,87,1,0.32,1600063136
Pak Phanang,TH,8.35,100.2,307.15,63,20,2.1,1600063137
Porkhov,RU,57.77,29.56,286.15,93,75,3.0,1600063137
Waitati,NZ,-45.75,170.57,288.71,66,99,3.13,1600063138
Douglas,US,41.3,-96.17,290.15,93,1,3.62,1600063138
Pozo Colorado,PY,-23.49,-58.8,299.48,61,86,6.32,1600063139
Catuday,PH,16.29,119.81,302.33,75,96,2.4,1600063140
Saint-Pierre,RE,-21.34,55.48,294.15,77,90,11.8,1600062846
Kisanga,TZ,-7.44,37.7,301.53,55,17,0.96,1600063141
Tautira,PF,-17.73,-149.15,300.15,61,75,4.1,1600063141
Filingué,NE,14.35,3.32,301.36,66,96,3.4,1600063142
Borba,BR,-4.39,-59.59,297.69,85,5,1.0,1600062853
Jacksonville,US,30.33,-81.66,300.37,88,75,2.1,1600063077
Carnot,CF,4.94,15.87,294.33,95,99,1.08,1600063144
Varna,BG,43.22,27.92,294.15,43,18,3.6,1600063144
Nemuro,JP,43.32,145.57,288.15,72,75,3.1,1600063145
Isla Vista,US,34.41,-119.86,293.71,87,1,1.25,1600063145
Killybegs,IE,54.63,-8.45,287.59,92,75,2.24,1600063146
Flin Flon,CA,54.77,-101.86,280.06,67,98,1.72,1600063146
Pangnirtung,CA,66.15,-65.71,274.96,81,46,1.11,1600063147
Avera,US,33.19,-82.53,296.48,93,1,2.37,1600063148
Te Anau,NZ,-45.42,167.72,280.61,85,77,2.87,1600063148
Mayumba,GA,-3.43,10.66,296.88,84,36,1.53,1600063149
Whitehorse,CA,60.72,-135.05,278.15,56,20,3.1,1600063149
Mizdah,LY,31.45,12.98,293.2,81,0,2.57,1600063150
Port Macquarie,AU,-31.43,152.92,295.93,62,3,0.45,1600063151
Ninghai,CN,29.29,121.42,296.48,98,100,1.48,1600063152
Jieshi,CN,22.81,115.83,304.82,72,29,0.89,1600063153
Sirte,LY,31.21,16.59,300.22,69,0,4.62,1600063153
Nipawin,CA,53.37,-104.0,282.15,76,90,2.6,1600063154
Port Hedland,AU,-20.32,118.57,311.15,17,11,6.7,1600063154
Ketchikan,US,55.34,-131.65,286.15,93,1,1.4,1600063155
Regina,CA,50.45,-104.62,283.71,41,75,6.7,1600063155
Mt. Pleasant,US,32.79,-79.86,298.71,100,1,2.6,1600063156
Troitsko-Pechorsk,RU,62.71,56.2,284.4,88,100,4.17,1600063157
Uppsala County,SE,60.0,17.75,286.15,93,9,2.1,1600063158
Leshukonskoye,RU,64.9,45.76,283.01,92,100,2.37,1600063159
Pámfila,GR,39.16,26.52,297.15,69,20,5.7,1600063160
Bonavista,CA,48.65,-53.11,286.56,85,79,8.57,1600063160
Dingle,PH,11.0,122.67,304.02,72,80,3.08,1600063161
Porto-Novo,BJ,6.5,2.6,298.15,94,40,1.5,1600063162
Ciudad Bolivar,VE,8.12,-63.55,298.8,83,31,3.47,1600063162
Boddam,GB,57.47,-1.78,288.15,77,40,3.1,1600063163
Hirara,JP,24.8,125.28,304.15,66,75,3.1,1600063164
Umarkot,PK,25.36,69.74,309.07,43,17,2.05,1600063164
Clyde River,CA,70.47,-68.59,274.15,83,90,2.03,1600062747
Suileng,CN,47.25,127.08,292.72,58,79,2.23,1600063165
Puerto Maldonado,PE,-12.6,-69.18,297.48,68,20,0.89,1600063166
Rocha,UY,-34.48,-54.33,282.23,66,17,6.81,1600063166
Coxim,BR,-18.51,-54.76,295.93,26,0,2.18,1600063025
Vyartsilya,RU,62.18,30.69,283.49,75,0,5.06,1600063168
Pasni,PK,25.26,63.47,306.33,30,55,6.27,1600063168
Biltine,TD,14.53,20.92,300.5,60,99,7.03,1600063169
Bilibino,RU,68.05,166.44,280.25,65,100,2.73,1600063169
Shanhecun,CN,44.7,127.2,292.86,67,20,1.17,1600063170
Geraldton,AU,-28.77,114.6,304.15,22,47,3.1,1600063171
Doha,QA,25.29,51.53,312.15,29,11,2.1,1600063064
Paamiut,GL,61.99,-49.67,275.46,74,16,5.15,1600063172
Beyneu,KZ,45.32,55.2,297.76,33,0,1.24,1600063172
High Level,CA,58.52,-117.14,274.15,86,1,2.6,1600063173
Matinha,BR,-3.1,-45.03,295.66,95,15,1.22,1600063174
Lahat,ID,-3.8,103.53,306.88,48,74,0.86,1600063174
Nishihara,JP,26.18,127.76,302.15,83,75,2.6,1600063175
Yuanping,CN,38.72,112.76,296.51,54,33,2.13,1600063176
San Rafael,AR,-34.62,-68.33,281.71,48,0,1.29,1600063177
Camaçari,BR,-12.7,-38.32,297.15,83,90,8.7,1600063178
Abbeville,FR,50.1,1.83,286.15,93,0,3.1,1600063178
Halvad,IN,23.02,71.18,305.29,62,66,3.67,1600063179
Haileybury,CA,47.45,-79.64,279.15,87,1,3.6,1600063180
Klyuchi,RU,52.27,79.17,294.61,25,90,1.98,1600063180
Ixtapa,MX,20.7,-105.2,299.26,94,90,3.1,1600063181
San-Pédro,CI,4.75,-6.64,297.09,92,98,3.93,1600063182
Bull Savanna,JM,17.89,-77.59,297.87,86,79,2.86,1600063182
Raja,SS,8.46,25.68,294.9,95,100,1.63,1600063183
Nanortalik,GL,60.14,-45.24,276.53,73,45,1.47,1600063184
Trairi,BR,-3.28,-39.27,297.61,77,29,5.29,1600063184
